VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2,3.1,1,N,75,42,2,11.5,0.5,0.5,0,0,0.3,12.8,0
2,6,3.67,1,N,140,68,1,14,0.5,0.5,5,0,0.3,22.8,2.5
2,2,0.86,1,N,79,144,1,5.5,0.5,0.5,1.86,0,0.3,13.11,2.5
2,1,0.13,5,N,148,148,2,45,0,0.5,0,0,0.3,48.3,2.5
1,0,1,1,N,148,107,2,6,3,0.5,0,0,0.3,9.8,2.5
1,0,1.6,1,N,79,162,1,6.5,3,0.5,2.05,0,0.3,12.35,2.5
1,1,0,1,N,185,151,1,39.2,0,0.5,0,0,0.3,40,0
1,1,1.6,1,N,186,142,1,7,3,0.5,2.15,0,0.3,12.95,2.5
2,1,0.35,1,N,237,141,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2,1.52,1,N,186,107,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
1,1,5.1,1,N,75,224,1,15.5,3,0.5,3.85,0,0.3,23.15,2.5
1,1,0.6,1,N,140,262,1,4,3,0.5,2.3,0,0.3,10.1,2.5
2,1,2.79,1,N,50,239,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,3,1.15,1,N,142,237,1,6,0.5,0.5,2.45,0,0.3,12.25,2.5
1,1,1.1,1,N,163,237,4,5.5,3,0.5,0,0,0.3,9.3,2.5
2,1,0.84,1,N,107,164,1,4.5,0.5,0.5,2.08,0,0.3,10.38,2.5
2,1,2.61,1,N,45,170,1,10,0.5,0.5,3.45,0,0.3,17.25,2.5
2,1,1.3,1,N,90,107,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2,2.85,1,N,244,41,2,10.5,0.5,0.5,0,0,0.3,11.8,0
2,1,4.2,1,N,238,168,1,14,0.5,0.5,1,0,0.3,18.8,2.5
1,1,7.5,1,N,148,228,2,24,3,0.5,0,0,0.3,27.8,2.5
2,1,3.45,1,N,186,148,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,1,2.51,1,N,231,65,2,10,0.5,0.5,0,0,0.3,13.8,2.5
2,1,1.8,1,N,42,74,2,8,0.5,0.5,0,0,0.3,9.3,0
2,2,0.9,1,N,48,161,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2,0.66,1,N,230,186,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5
2,1,1.83,1,N,239,244,2,10,0.5,0.5,0,0,0.3,13.8,2.5
2,1,2.65,1,N,230,151,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,1,1.81,1,N,75,74,2,8,0.5,0.5,0,0,0.3,9.3,0
1,1,0,1,N,37,61,1,17.2,0,0.5,0,0,0.3,18,0
2,2,0.16,1,N,35,35,2,2.5,0.5,0.5,0,0,0.3,7.7,0
1,1,0,1,N,69,132,1,46.2,0,0.5,0,6.12,0.3,53.12,0
2,1,3.06,1,N,148,87,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
1,1,0,1,N,39,39,1,9.2,0,0.5,0,0,0.3,10,0
2,1,8.8,1,N,28,77,1,25.5,0.5,0.5,0,0,0.3,28.75,0
